Group,Clade,Order,Taxa,Taxonomic_rank,Era,Early_Period,Early_Epoch,Early_Stage,Late_Period,Late_Epoch,Late_Stage,Age_ref,Max_size_m,Size_type,Size_ref,Distribution,Guild,Vertical,Habitat,Ecology_notes,Ecology_ref,Extinction,Extinction_ref,Notes,Enterer,Age_check
Mammal,Sirenia,Sirenia,Dusisiren dewana,species,Cenozoic,Neogene,Miocene,Upper Miocene,Neogene,Pliocene,Pliocene,Domning 1978,4.66,TL,Sarko et al. 2010,North America; Asia,Herbivore,Benthic,Coastal,herbivore/benthic/coastal/endotherm,Pimiento et al. 2017 Nature Ecology & Evolution,pliocene extinction,Pimiento et al. 2017 Nature Ecology & Evolution,estimate of body length based on regression analyses,SK,
Mammal,Sirenia,Sirenia,Dusisiren jordani,species,Cenozoic,Neogene,Miocene,Upper Miocene,Neogene,Miocene,Upper Miocene,Howard 1976; Kellogg 1929,6.19,TL,Sarko et al. 2010,North America,Herbivore,Benthic,Coastal,herbivore/benthic/coastal/endotherm,Pimiento et al. 2017 Nature Ecology & Evolution,,,Howard 1976 online for pay online; Kellogg 1929 not found online,SK,
Mammal,Cetacea,Cetacea,Etruridelphis,genus,Cenozoic,Neogene,Pliocene,Pliocene,Neogene,Pleistocene,Pleistocene,Bianucci et al. 2009 Neus Jahrbuch fur Geologie und Palaontologie Abhandlungen; Capellini 1911 Memorie della R. Accademia delle Scienze dell’Instiuto di Bologna,3.00,TL,Pimiento et al. 2017 Nature Ecology & Evolution,Europe,Macropredator,Benthopelagic,Coastal,"mesopredator, benthopelagic, coastal",Pimiento et al. 2017 Nature Ecology & Evolution,survived Pliocene Ext.,Pimiento et al. 2017 Nature Ecology & Evolution,,MG,
Mammal,Cetacea,Cetacea,Eurhinodelphis cocheteuxi,species,Cenozoic,Neogene,Miocene,Lower Miocene,Neogene,Miocene,Upper Miocene,"Louwye et al. 2000 Geological Magazine 137(4); Van Beneden 1876 Bulletins de l'Academie Royale des Sciences, des Lettres et des Beaux-Arts de Belgique 41",3.84,TL,Pyenson & Sponberg 2011,Europe,,,Coastal,"marine, freshwater",PBDB,,,"3,84m is predicted length based on PSL method, 6.4 m is maximum bound of prediction (PSL method)",SK,
Mammal,Carnivora,Carnivora,Gomphotaria pugnax,species,Cenozoic,Neogene,Miocene,Upper Miocene,Neogene,Miocene,Upper Miocene,"N. A. Smith, R. W. Boessenecker, D. Long and C. Powell. 2017. A new marine vertebrate assemblage from the Wilson Grove Formation at Bloomfield Quarry (Late Miocene), Sonoma County, California. Society of Vertebrate Paleontology Program and Abstracts 2017:195-196 ; L. G. Barnes and R. E. Raschke. 1991. Gomphotaria pugnax, a new genus and species of late Miocene dusignathine otariid pinniped (Mammalia: Carnivora) from California. Contributions in Science 426:1-16",3.30,TL,Velez-Juarbé et al. 2018 Royal Society,North America,Macropredator,,Coastal,,PBDB,,,Odobenidae,CS,
Mammal,Cetacea,Cetacea,Haborophocoena,genus,Cenozoic,Neogene,Pliocene,Pliocene,Neogene,Pliocene,Pliocene,"Ichishima &. Kimura 2005 Harborophocoena toyoshimai, a anew early Pliocene porpoise (Cetacea, Phocoenidae) from Hokkaido, Japan. Journal of Vertebrate Paleontology (from PBDB)",3.00,TL,Pimiento et. al 2017,Asia ,Macropredator,Benthopelagic,Coastal/Oceanic,"mesopredator, benthopelagic, coastal/oceanic",Pimiento et al. 2017 Nature Ecology & Evolution,pliocene extinction,Pimiento et al. 2017 Nature Ecology & Evolution,"species: toyoshimai (age ref paper), age: 5.332 to 3.6 Ma, in paper of age ref says ""small body size""",GH,
Mammal,Cetacea,Cetacea,Hadrodelphis,genus,Cenozoic,Neogene,Miocene,Middle Miocene,Neogene,Pliocene,Pliocene,Whitmore & Kaltenbach 2008 Virginia Museum of Natural History Special Publication 14; Wang et al. 1999 Bulletin of the American Museum of Natural History 243,3.00,TL,Pimiento et al. 2017,North America; Europe,Macropredator,Benthopelagic,Coastal,"mesopredator, benthopelagic, coastal",Pimiento et al. 2017 Nature Ecology & Evolution,pliocene extinction,Pimiento et al. 2017 Nature Ecology & Evolution,,SK,
Mammal,Cetacea,Cetacea,Hadrodelphis calvertense,species,Cenozoic,Neogene,Miocene,Middle Miocene,Neogene,Miocene,Middle Miocene,Case 1904; Dawson 1996,4.00,,Gottfried et al. 1994,North America,Macropredator,Benthopelagic,Coastal,"mesopredator, benthopelagic, coastal",Pimiento et al. 2017,,,"Case 1904 not found; Gottfried et al. 1994 estimate H. calvertense to be > 4 m, however paper not found online",SK,
Mammal,Cetacea,Cetacea,Hemisyntrachelus,genus,Cenozoic,Neogene,Miocene,Upper Miocene,Neogene,Pleistocene,Pleistocene,Muizon 1983 Comptes Rendus de l'Academie des Sciences Paris Serie II; Post & Bosselaer 2005 Deinsea,3.00,TL,Pimiento et al. 2017 Nature Ecology & Evolution,Europe; South America,Macropredator,Pelagic,Coastal/Oceanic,macropredator/pelagic,Pimiento et al. 2017 Nature Ecology & Evolution,survived Pliocene Ext.,Pimiento et al. 2017 Nature Ecology & Evolution,,MG,
Mammal,Cetacea,Cetacea,Herpetocetus,genus,Cenozoic,Neogene,Miocene,Middle Miocene,Neogene,Pleistocene,Pleistocene,"Minch et al. 1970 A middle Miocene age for the Rosarito Beach Formation in Northwestern Baja California, Mexico. Geological Society of America BUlletin ; Boessenecker et al. 2017 Youngest record of extinct walrus Ontocetus ommonsi (Carnivora: Odobenidae): Plio-Pleistocene Austin Sand Pit, South Carolina, USA. Society of Vertebrate Paleontology Program and Abstracts",3.00,TL,Pimiento et. al 2017,North America; Europe; Asia,Micropredator,Benthic,Coastal,"micropredator, benthic, coastal; specialized type of suction feeding, were able to generate concentrated oral suction pressure to draw prey-laden water into their mouths similar to the extant gray whale Eschrichtius robustus, Herpetocetus (and Piscobalaena) likely possessed numerous, but very short baleen laminae along the lateral margins of its elongate palate; Herpetocetus is a small- odied (3–4 m) baleen whale with a unique mandibular articulation (Whitmore and Barnes 2008) which would have restricted its ability to abduct its mandible (Whitmore 1994) and therefore has drastically reduced maximum oral volume. This suggests it was not a lunge feeder (El Adli and Boessenecker 2011) and, in concert with its tiny size, indicates the existence of an additional niche during the Pliocene that is not currently occupied by baleen whales 
",Pimiento et al. 2017 Nature Ecology & Evolution; Berta et al. 2016 Integrative and Comparative Biology,survived Pliocene Ext.,Boessenecker 2013 Naturwissenschaften,"species: morrowi, scaldiensis, bramblei, sendaicus, transatlanticus",GH,
