Group,Clade,Class,Order,Taxa,Taxonomic_rank,Era,Early_Period,Early_Epoch,Early_Stage,Late_Period,Late_Epoch,Late_Stage,Age_ref,Max_size_m,Size_type,Size_ref,Distribution,Guild,Vertical,Habitat,Ecology_notes,Ecology_ref,Extinction,Extinction_ref,Notes,Enterer,Age_check
Fish,Actinopterygii,Actinopterygii,Albuliformes,Phosphonatator oxyrhynchus,species,Cenozoic,Paleogene,Paleocene,,Paleogene,Paleocene,,Cavin et al. 2000,2.00,TL,Cavin et al. 2000,Morocco,,,, ,,,,,AG,
Fish,Placodermi,Placodermi,Phyllolepida        ,Placolepis tingeyi,species,Paleozoic,Devonian,Middle Devonian,,Devonian,Middle Devonian,,Sallan 2015,1.10,TL,Sallan 2015,,,,, ,,,,,mr,
Fish,Sarcopterygii,Sarcopterygii,Osteolepiformes,Platycephalichthys bischoffi,species,Paleozoic,Devonian,Upper Devonian,,Devonian,Upper Devonian,,Zupins 2009,4.00,TL,Sallan 2015,Europe,,,, ,,,,,er,
Fish,Actinopterygii,Actinopterygii,Palaeonisciformes,Plegmolepis groenlandica,species,Paleozoic,Permian,Lopingian,,Permian,Lopingian,,"Aldinger 1937, Romano et al. 2016",1.00,SL,Romano et al. 2016,Greenland,,,, ,,,,,AG,
Fish,Actinopterygii,Actinopterygii,Palaeonisciformes,Plegmolepis kochi ,species,Paleozoic,Permian,Lopingian,,Permian,Lopingian,,"Aldinger 1937, Romano et al. 2016",1.50,SL,Romano et al. 2016,Greenland,,,, ,,,,,AG,
Fish,Placodermi,Placodermi,Arthrodira,Plourdosteus canadensis,species,Paleozoic,Devonian,Upper Devonian,,Devonian,Upper Devonian,,Schultze and Arsenault 1985,1.00,TL,"Janvier, P. (1996)",Canada,,,, ,,,,Can't get access to Janvier (1996) to verify,AG,
Fish,Placodermi,Placodermi,Arthrodira,Pluordosteus panderi,species,Paleozoic,Devonian,Middle Devonian,,Devonian,Upper Devonian,,Sallan 2015,1.70,TL,Sallan 2015,,,,, ,,,,,mr,
Fish,Actinopterygii,Actinopterygii,Acipenseriformes,Polyodon tuberculata,species,Cenozoic,Paleogene,Paleocene,Danian,Paleogene,Eocene,,"Murray et al. 2020, Albert et al. 2009",2.61,TL,Albert et al. 2009,United States of America,,,, ,,,,"Epoch was not given in Albert et al. 2009 but they did state that the minimum age was 55Ma, which would place late epoch as Ypresian",AG,
Fish,Sarcopterygii,Sarcopterygii,Porolepiformes,Porolepis elongata,species,Paleozoic,Devonian,Lower Devonian,,Devonian,Lower Devonian,,Albert et al. 2009; Mondéjar‐Fernández 2021,1.00,TL,"Albert et al. 2009, Janvier 1996, Benton 2004",Europe,,,, ,,,,,AG,
Fish,Actinopterygii,Actinopterygii,Elopiformes,Protarpon boualii,species,Cenozoic ,Paleogene,Paleocene,,Paleogene,Paleocene,,Khalloufi et al. 2018,2.00,TL,Khalloufi et al. 2018,Morocco,,,, ,,,,,AG,
