Group,Clade,Class,Order,Taxa,Taxonomic_rank,Era,Early_Period,Early_Epoch,Early_Stage,Late_Period,Late_Epoch,Late_Stage,Age_ref,Max_size_m,Size_type,Size_ref,Distribution,Guild,Vertical,Habitat,Ecology_notes,Ecology_ref,Extinction,Extinction_ref,Notes,Enterer,Age_check
Shark,Chimeroidea,Chondrichthyes,Eugeneodontiformes ,Caseodus eatoni,species,Paleozoic,Carboniferous,Pennsylvanian,Moscovian,Carboniferous,Miocene,Kasimovian,"S. A. Hamm and D. J. Cicimurri. 2005. Middle Pennsylvanian (Desmoinesian) chondrichthyans from the Lake Neosho Shale Member of the Altamont Limestone in Montgomery County, Kansas. Paludicola 5(2):65-76",0.95,TL,"P. Janvier, Early Vertebrates, Oxford Monographs in Geology and Geophysics",North America (South Dakota),,,,nektonic carnivore,https://paleobiodb.org/classic/basicTaxonInfo?taxon_no=244970,,,,,
Shark,Selachii,Chondrichthyes,Lamniformes,Cetorhinus,genus,Cenozoic,Neogene,Miocene,Lower Miocene,Neogene,Miocene,Middle Miocene,Welton 2014; 2015,6.50,TL,Welton 2014; 2015,North America,Micropredator,Pelagic,Coastal/Oceanic,Filter feeder,https://paleobiodb.org/classic/basicTaxonInfo?taxon_no=34606,,,"Non-maximums, which is extinct. The genus is extant",JAC,
Shark,Selachii,Chondrichthyes,Hexanchiformes,Chlamydoselachus thomsoni,species,Mesozoic,Cretaceous,Upper Cretaceous,Campanian,Cretaceous,Upper Cretaceous,Campanian,"H. Cappetta, K. Morrison, and S. Adnet. 2019. A shark fauna from the Campanian of Hornby Island, British Columbia, Canada: an insight into the diversity of Cretaceous deep-water assemblages. Historical Biology 33:1121-1182",2.00,TL,Albert et al. 2009,North America,Macropredator,Benthic,Oceanic,nektonic carnivore,https://paleobiodb.org/classic/basicTaxonInfo?taxon_no=440906,,,"Distribution: Canada (British Columbia), based on PBDB; also known as Rolfodon thomsoni",,
Shark,Selachii,Chondrichthyes,Cladoselachiformes,Cladoselache clarki,species,Paleozoic,Devonian,Upper Devonian,Famennian,Devonian,Upper Devonian,Famennian,"M. E. Williams. 2001. Tooth retention in cladodont sharks: with a comparison between primitive grasping and swallowing, and modern cutting and gouging feeding mechanisms. Journal of Vertebrate Paleontology 21(2):214-226",3.00,TL,"M. J. Benton, Vertebrate Palaeontology, 3rd. (Blackwell, Oxford, 2005)",North America (Ohio),,,,nektonic carnivore,https://paleobiodb.org/classic/basicTaxonInfo?taxon_no=151598,,,,,
Shark,Selachii,Chondrichthyes,Symmoriiformes,Cobelodus aculeata,species,Paleozoic,Carboniferous,Pennsylvanian,Kasimovian,Permian,Cisuralian,Artinskian," F. Scholze, J. W. Schneider, and S. G. Lucas. 2021. Conchostracans from the Late Pennsylvanian Kinney Brick Quarry Konservat Lagerstätte, New Mexico (Usa) – taxonomy, biostratigraphy, and paleoecology. New Mexico Museum of Natural History and Science Bulletin 84:287-299; A. Ivanov. 2005. Early Permian chondrichthyans of the middle and south Urals. Revista Brasileira de Paleontologia 8(2):127-138",1.58,TL,Albert et al. 2009,"Russia, North America ",Macropredator,,,nektonic carnivore,https://paleobiodb.org/classic/basicTaxonInfo?taxon_no=34438,,,New Mexico,,
Shark,Selachii,Chondrichthyes,Hybodontiformes,Crassodus reifi,species,Mesozoic,Jurassic,Lower Jurassic,Toarcian,Jurassic,Lower Jurassic,Toarcian,Maisch & Matzke 2016,3.00,TL,Maisch & Matzke 2016,Europe,Macropredator,,,nektonic carnivore,https://paleobiodb.org/classic/basicTaxonInfo?taxon_no=342966,,,Put together pieces of fossils and measured the length; 1 specimen from Germany,JAC,
Shark,Selachii,Chondrichthyes,Lamniformes,Cretalamna appendiculata,species,Mesozoic,Cretaceous,Lower Cretaceous,Albian,Cretaceous,Lower Cretaceous,Albian,Shimada 2007,3.00,TL,Shimada 2007,"North America, Africa",Macropredator,Pelagic,Coastal/Oceanic,nektonic carnivore; considered ecologically similar to Lamna,"Shimada, K., 2007. Skeletal and dental anatomy of lamniform shark, Cretalamna appendiculata, from Upper Cretaceous Niobrara Chalk of Kansas. Journal of Vertebrate Paleontology, 27(3), pp.584-602.",,,length up to 4.2m? see paper shimada et al (2010),JAC ,
Shark,Selachii,Chondrichthyes,Lamniformes,Cretodus crassidens,species,Mesozoic,Cretaceous,Upper Cretaceous,Turonian,Cretaceous,Upper Cretaceous,Turonian,Amalfitano et al. 2022,11.00,TL,Amalfitano et al. 2022,Europe,Macropredator,Pelagic,Oceanic,"nektonic carnivore; stated to have preferred ""offshore habitats""","Amalfitano, J., Dalla Vecchia, F.M., Carnevale, G., Fornaciari, E., Roghi, G. and Giusberti, L., 2022. Morphology and paleobiology of the Late Cretaceous large-sized shark Cretodus crassidens (Dixon, 1850)(Neoselachii; Lamniformes). Journal of Paleontology, pp.1-23.",,,,JAC,
Shark,Selachii,Chondrichthyes,Lamniformes,Cretodus houghtonorum,species,Mesozoic,Cretaceous,Upper Cretaceous,Turonian,Cretaceous,Upper Cretaceous,Turonian,Shimada & Everhart 2019,6.80,TL,Shimada & Everhart 2019,North America,Macropredator,Pelagic,Coastal,"nektonic carnivore; stated to have preferred ""nearshore"" habitats","Shimada, K. and Everhart, M.J., 2019. A new large Late Cretaceous lamniform shark from North America, with comments on the taxonomy, paleoecology, and evolution of the genus Cretodus. Journal of Vertebrate Paleontology, 39(4), p.e1673399.",,,1 skeletal specimen from Kansas,JAC,
Shark,Selachii,Chondrichthyes,Lamniformes,Cretoxyrhina mantelli,species,Mesozoic,Cretaceous,Lower Cretaceous,Albian,Cretaceous,Upper Cretaceous,Campanian,Shimada 1997a,6.00,TL,Shimada 1997b,Cosmompolitan,Macropredator,Pelagic,Oceanic,"nektonic carnivore; stated to have preferred ""offshore habitats"" and have a similar ""guild"" to modern white sharks","Shimada, K., 1997c. Paleoecological relationships of the Late Cretaceous lamniform shark, Cretoxyrhina mantelli (Agassiz). Journal of Paleontology, 71(5), pp.926-933.",,,,JAC,
